,LND_SQFOOT,TOT_LVG_AREA,SPEC_FEAT_VAL,RAIL_DIST,OCEAN_DIST,WATER_DIST,CNTR_DIST,SUBCNTR_DI,HWY_DIST,age,avno60plus,structure_quality,SALE_PRC
8362,7680,1301,4794,8272.3,27377.3,10447.4,93179.4,42792.4,5403.8,10,0,2,245000.0
10746,6351,2452,39895,11962.9,35592.4,23697.7,144430.1,96251.0,5862.1,12,0,2,294800.0
10316,6000,3140,298,10069.9,35687.4,24404.4,138329.1,89463.1,974.1,10,0,2,230000.0
10499,7875,1739,4916,14555.6,33402.3,23115.9,132440.8,83413.8,4253.8,49,0,2,140000.0
2447,5400,1015,1307,2653.4,21366.3,4639.6,11304.6,11304.6,1545.6,46,0,2,220000.0
3955,5700,971,4525,3286.2,6821.1,6721.4,19723.6,4896.7,10589.0,67,0,2,300000.0
11465,5262,1886,1232,2973.9,57826.6,25299.4,72002.2,44915.5,1977.8,25,0,4,312900.0
10051,7537,2478,5005,7616.3,38086.1,26662.6,142697.0,93850.8,542.3,10,0,2,255000.0
5438,17000,1636,988,8096.9,22592.4,13879.7,80546.8,29716.9,1709.7,36,0,2,280000.0
10155,7807,2388,4232,14665.1,30940.5,19567.0,137987.6,89950.4,4235.2,15,0,2,235000.0
11195,3525,1457,3806,3715.7,69628.6,4605.6,67090.3,59550.6,4909.7,22,0,5,265000.0
9737,5000,2172,2405,13668.5,16941.8,11471.7,108641.7,61145.4,681.3,0,0,4,308600.0
8366,8389,1493,6464,8496.3,23890.1,7686.3,90645.6,40649.4,2284.4,44,0,2,216000.0
6077,4960,1789,1779,7358.7,35891.1,19841.0,62534.6,18093.9,5864.3,24,0,4,340000.0
1459,6750,1448,1456,1460.0,34153.4,4807.0,26737.7,26737.7,5079.9,11,0,2,160000.0
12211,4352,1538,0,13470.9,58763.8,39372.6,85635.1,44455.8,19979.8,24,0,4,295000.0
10416,7500,1448,2129,12180.4,35093.8,24276.5,134888.2,85811.0,3749.3,44,0,2,115000.0
4923,17835,3520,45697,11367.8,5282.1,5163.6,77171.6,31883.3,14891.0,21,0,2,650000.0
4400,11915,2632,27673,4039.5,15669.0,3764.9,38141.2,14453.8,7623.9,66,0,4,469000.0
7172,7950,1723,0,2504.2,32018.5,2243.0,57344.0,57344.0,1028.6,48,0,5,236000.0
3562,12000,3006,34259,6808.1,19576.9,7096.4,31662.5,9800.4,9259.6,59,0,5,950000.0
2929,7500,974,268,4733.3,8256.5,2941.9,6275.0,6275.0,3416.1,66,0,1,225000.0
5553,16260,2956,8371,7987.4,20674.9,16986.1,74879.7,23988.5,6927.2,35,0,4,580000.0
5689,21344,2850,31227,1539.0,17310.8,14661.2,63421.3,13022.6,9022.7,16,0,4,745000.0
2673,11200,2900,938,17749.7,1538.0,555.2,22864.2,4294.9,4320.1,78,0,4,1150000.0
134,9525,1306,1891,4336.2,18463.2,4656.2,46148.0,43756.5,10347.8,26,0,4,228500.0
12180,5276,1524,0,17094.3,58988.0,35551.2,82212.7,42854.2,17258.8,27,0,4,285000.0
10297,3600,1537,0,17901.9,27688.0,16393.9,133989.7,86180.3,3809.1,10,0,2,185000.0
13045,8925,1767,21907,7973.7,36538.8,31193.9,78812.2,29487.7,3980.8,23,0,4,330000.0
10356,7500,1630,12230,13204.0,33211.6,22149.3,134960.7,86209.5,1417.5,42,0,2,180000.0
3704,6950,1248,390,6569.7,9998.9,9036.7,17509.2,6282.2,9373.9,70,0,2,315000.0
799,7600,1369,3242,9176.4,30328.5,6299.2,41802.7,41802.7,1517.2,67,0,2,120000.0
7757,8000,1135,0,16734.6,49777.0,1958.6,65849.2,65849.2,6522.0,53,0,5,152000.0
7947,7500,1798,6000,17094.9,43933.1,480.2,67798.2,67798.2,3105.9,44,0,4,197000.0
12304,6380,3158,51102,7871.8,60248.1,46428.5,92191.1,48888.9,24160.4,13,0,4,450000.0
427,7575,1741,2930,2538.6,19863.3,166.9,60409.7,57556.3,2214.1,59,0,4,255200.0
8757,8541,2035,880,7058.9,14348.6,2377.7,99221.2,52022.9,1185.9,0,0,4,299900.0
11119,4800,2773,1296,22083.9,74612.1,2491.5,79119.6,76290.2,1174.1,21,0,5,352000.0
5528,18920,3051,28951,1136.5,14009.0,14002.9,70490.7,20800.0,12804.3,44,0,2,560000.0
12591,3448,1724,885,10503.4,54473.8,45282.9,89772.5,44531.1,19602.3,23,0,4,245000.0
7529,8250,1007,2908,5336.4,30327.3,2678.7,64193.4,64193.4,5339.9,42,0,4,153000.0
12444,4200,2122,12328,19149.8,47914.1,28254.6,72852.9,30951.6,6447.3,16,0,4,379000.0
9159,8250,1359,18957,14448.0,8697.8,5906.2,84813.5,39479.7,10176.6,10,0,4,294000.0
1255,7500,2116,4904,2701.1,48188.3,6234.7,43310.3,39632.3,9724.8,61,0,4,260000.0
6081,50530,2197,2687,5095.8,33039.8,16864.9,59282.1,15216.1,5374.3,53,0,4,715000.0
6143,9563,1225,2118,5937.1,33566.5,13342.7,56382.6,16265.2,6702.6,58,0,4,310000.0
7598,6000,2145,0,11262.6,35076.6,598.6,63714.3,63714.3,1163.1,8,0,2,285000.0
4779,24029,4294,39991,12147.4,3029.4,0.0,45555.8,14616.7,14247.7,21,0,5,2100000.0
12184,4150,2577,892,10227.2,60304.7,42808.6,89009.2,47151.9,22908.3,16,0,4,340000.0
9443,6000,1932,3385,24298.3,19867.6,13368.9,119797.4,72228.4,3968.0,0,0,4,280000.0
2318,8800,1614,35967,1712.6,20450.3,726.1,17305.1,17305.1,4441.2,16,0,4,750000.0
8877,4038,1327,1896,8543.1,12935.8,1916.5,94579.9,48164.4,3043.4,7,0,4,228500.0
8803,6000,2484,0,5385.3,15993.9,3234.3,98780.9,51160.8,2260.5,9,0,2,298000.0
8589,5135,2552,3040,8533.9,18249.1,8486.8,104515.3,56409.0,5868.6,0,0,2,330600.0
6684,6549,2630,733,9285.3,47550.0,9352.2,51989.1,37135.0,7668.5,26,0,5,880000.0
8276,8624,1116,4703,4694.6,23458.5,5398.6,92923.4,43452.2,3812.9,26,0,2,195000.0
3393,7150,941,2264,1126.1,23950.4,456.6,42064.4,18632.6,1503.6,64,0,4,289000.0
10306,4219,1841,2352,11530.9,34150.2,22849.1,137718.1,89047.8,112.3,4,0,2,200000.0
7762,21873,1945,672,15874.5,47914.1,89.4,65177.7,65177.7,6491.4,57,0,5,265000.0
3745,5900,1905,4063,6175.2,8240.7,5906.4,11240.0,11240.0,6537.7,61,0,2,325000.0
12597,3722,1727,1011,10825.9,54256.9,44953.5,89430.4,44217.1,19290.0,13,0,4,300000.0
11227,8567,4066,41175,17380.9,70252.1,3045.3,70397.0,67287.4,3291.8,10,0,4,690000.0
13046,4556,1699,0,10360.8,39502.1,33013.7,81610.0,32665.3,7241.5,38,0,4,275000.0
9121,10318,1418,0,12143.8,10975.4,4567.2,86888.2,40966.4,7839.4,22,0,2,230000.0
381,7794,2829,28556,1439.4,23051.6,3557.1,58660.5,57070.8,627.1,21,0,4,343000.0
9628,7500,2118,934,16426.6,19201.4,15099.6,112189.2,64356.3,795.0,27,0,2,220000.0
8827,7388,2594,10450,5372.9,15862.9,2889.8,98395.6,50831.0,1897.2,0,0,4,326800.0
2788,8124,2133,37498,2242.4,39561.8,3090.8,38920.4,29692.2,7068.7,48,1,5,400000.0
13475,6139,3079,330,320.9,49715.1,36461.8,99906.0,50080.6,23099.8,0,0,4,534300.0
0,9375,1753,0,2815.9,12811.4,347.6,42815.3,37742.2,15954.9,67,0,4,440000.0
6454,7500,1624,798,6341.0,30386.4,3640.6,46328.5,23803.5,3629.2,60,0,4,357500.0
12479,9350,2003,0,15581.5,43916.3,31186.8,74401.2,29501.8,5266.6,22,0,4,370000.0
7562,7500,1241,1478,7569.1,32036.2,1229.6,64450.1,64450.1,4116.0,57,0,4,141900.0
9758,5000,3034,0,13535.3,16496.7,11095.6,108301.3,60888.7,732.1,0,0,4,348200.0
5837,38551,2992,5751,4363.0,32759.1,28069.3,69438.7,20586.5,4283.3,32,0,2,560000.0
10872,56192,2611,16282,12096.2,63410.0,17811.5,139405.9,88351.6,35636.8,33,0,4,250000.0
10843,3975,1941,0,7432.0,38740.1,27218.2,144145.5,95339.7,1298.1,36,0,2,151000.0
6867,5816,4051,31755,7614.5,58245.7,10674.6,60202.1,47732.3,8767.6,0,0,5,1000000.0
3120,6250,1526,3672,3028.6,24337.8,3318.9,35029.8,14421.0,6467.1,16,0,4,357500.0
6355,7950,2005,1485,10417.4,32535.7,7826.6,51022.2,21671.9,7662.8,57,0,4,345000.0
7801,7396,2181,0,20319.6,55213.5,3418.1,69157.7,69157.7,7680.8,22,0,4,270000.0
5883,10000,2725,21433,1475.1,28006.8,20972.7,60472.7,11072.8,1224.8,18,0,4,612500.0
8629,5000,2176,218,6978.9,18336.3,7318.5,103032.5,54847.9,6273.3,1,0,2,296000.0
4352,9755,2052,38567,2911.6,12287.7,1778.4,37305.4,14022.2,10507.5,29,0,4,540000.0
2018,8835,2621,20194,4172.1,18024.4,183.7,28626.3,26949.3,11139.9,7,0,5,1100000.0
4688,36155,3713,27992,5227.2,9036.7,4359.0,43180.2,9887.2,10687.9,45,0,4,900000.0
4560,12510,1575,8530,4862.9,27783.1,2455.6,45378.7,20954.6,2074.2,61,0,4,349000.0
13768,4807,1698,4689,1172.0,38829.2,22196.0,98126.4,47063.6,15965.4,23,0,4,280000.0
12937,9334,2814,33461,8915.2,44510.7,35328.3,88396.5,39548.6,14047.3,27,0,4,320000.0
4602,28656,1830,5940,2557.1,16129.8,9937.4,54620.0,5268.1,1909.0,42,0,4,720000.0
4746,10000,2074,660,1855.6,9003.3,347.4,37000.0,14144.6,13586.0,59,0,4,850000.0
3375,7500,1134,4341,2784.4,18934.7,1173.1,37256.3,13547.3,6732.6,44,0,4,285000.0
5822,11355,2597,876,6730.9,34946.1,31482.0,73228.8,24450.7,501.4,31,0,4,450000.0
6518,7700,1419,403,8233.4,40474.1,8436.7,55780.6,30238.4,7705.2,50,0,4,335000.0
9173,9120,1419,5237,9073.4,14348.0,1447.2,87800.4,40495.1,4589.9,13,0,2,260000.0
5385,11577,1490,2610,4087.1,14106.5,9201.3,76763.7,27495.6,9595.2,16,0,2,272000.0
10845,10800,1791,0,8233.2,37841.8,26330.1,143437.3,94711.9,1699.9,22,0,2,210500.0
11417,4016,1284,1551,6770.0,60255.2,5410.5,56321.5,50595.1,523.2,20,0,5,262500.0
6621,9562,2659,39694,6426.9,46892.9,10267.8,54312.8,36877.6,6937.0,14,0,4,615000.0
12195,9900,2145,20750,13176.6,58254.1,39883.9,85992.8,44363.2,20155.8,30,0,4,380000.0
6742,9900,3285,25446,12020.6,60891.0,17855.7,65410.3,50589.1,1694.9,19,0,5,1000000.0
6290,7500,1886,6294,8159.0,30349.4,6668.8,49921.3,19185.5,6068.5,59,0,4,206000.0
216,7472,2327,25490,7053.4,20275.6,5711.0,50695.4,48709.6,8101.4,46,0,2,220000.0
6023,7500,2134,1273,4077.6,29847.0,9845.3,52589.0,14183.7,4217.9,11,0,4,420000.0
12355,6600,2713,1068,12101.4,58289.0,41353.7,87312.5,45091.5,20817.8,13,0,4,399000.0
9373,15246,2280,8764,12063.5,8998.2,3854.2,80933.7,34425.8,10735.9,18,0,4,395000.0
4004,10000,2688,44855,5364.4,3788.5,766.4,33215.7,14921.8,18894.9,50,0,5,1200000.0
5414,7500,1263,1037,8954.0,20549.3,12154.5,80026.2,29461.6,3414.3,43,0,2,205000.0
866,7500,1326,0,6147.2,30504.1,4816.0,45325.0,45325.0,1665.0,26,0,2,169000.0
7152,8800,1129,3994,13034.4,45182.5,2212.5,63049.8,63049.8,5154.0,26,0,5,199000.0
43,8800,4729,31661,4288.9,6130.0,10.4,58142.5,50464.3,14538.6,16,0,5,1830000.0
17,9375,2574,37975,1847.6,12871.0,42.0,44007.1,38994.4,15786.3,62,0,4,590000.0
4013,9100,1595,32082,4678.1,3721.7,1218.8,32675.7,14084.9,18842.6,18,0,5,950000.0
10305,4400,2483,0,18275.1,27308.5,16017.2,133733.9,85976.0,3977.7,10,0,2,205000.0
1883,8925,1254,29995,1181.8,19622.0,1520.3,37382.6,36006.2,9360.2,19,0,4,420000.0
3528,7500,3271,31805,7717.4,18174.4,5943.9,31106.4,8639.8,10520.4,14,0,5,1285000.0
11069,3760,1529,3303,27790.8,70528.4,2317.3,79589.3,78523.1,2171.8,15,0,4,285000.0
11515,4807,1884,3120,589.8,55610.1,22451.6,68538.9,44232.9,924.5,26,0,4,365000.0
11634,6979,3700,4800,14160.4,60488.3,31697.3,78935.9,43273.1,12434.3,0,0,2,480600.0
5022,16200,3106,28003,10103.9,3074.6,2741.6,72311.7,27682.3,18791.0,43,0,2,490000.0
3837,15000,5101,11278,750.9,4022.4,827.0,6948.6,6948.6,1421.6,36,0,5,2225000.0
11781,5250,2830,24936,13709.3,65262.6,36112.9,83430.6,47874.8,13843.9,12,0,4,465000.0
7717,8950,1205,1432,16330.9,52607.3,954.7,65206.9,65206.9,4453.1,26,0,4,225000.0
3169,5600,1431,1399,5598.9,19014.6,3735.8,26653.5,8629.4,4931.9,63,0,4,325000.0
3698,6000,1362,1458,6058.0,9623.6,9391.5,19913.9,3850.2,10750.1,37,0,4,424000.0
7502,8100,1841,0,6710.1,32874.3,4218.9,63128.7,63128.7,2361.3,43,0,4,228000.0
6492,7600,1583,18457,9679.7,37271.7,6015.7,53110.9,27583.4,9211.2,26,0,4,380000.0
3902,18000,4415,42591,920.5,623.4,628.7,11211.9,11211.9,694.5,13,0,5,2475000.0
12977,7500,2472,3564,11394.1,43114.3,35284.3,85293.1,36730.7,11375.7,38,0,4,378000.0
12064,7500,1738,6253,14024.2,49498.1,20904.8,67891.2,33714.1,3677.0,49,0,4,340000.0
12961,7500,2370,1694,11388.6,43764.0,35813.0,85800.7,37333.3,12004.3,35,0,4,345000.0
6824,4095,3079,29245,7764.6,56600.0,10154.0,58398.1,46076.2,10448.1,0,0,5,792900.0
259,6950,1524,2743,2299.9,13700.1,790.7,53860.4,49051.4,11019.8,62,0,2,160000.0
443,5600,933,0,2726.2,12489.8,1082.1,61799.6,56332.8,6744.3,31,0,2,177500.0
8559,5000,1950,2878,9478.3,15698.0,7052.5,104013.7,56501.4,4168.7,4,0,2,255000.0
3222,14134,1807,1500,4972.5,19931.5,5145.2,33915.5,11191.9,8957.2,61,0,4,360000.0
4441,12500,2621,29648,4362.1,23255.9,16197.0,54027.8,5439.8,3905.8,39,0,4,650000.0
532,7400,2491,1051,8693.4,24530.1,477.3,43726.4,43726.4,4206.7,59,0,2,300000.0
12796,4633,2013,0,10402.5,51193.7,41938.6,91918.8,44516.8,19441.1,22,0,4,315000.0
5773,9350,2215,21347,1242.0,27113.8,25087.2,67473.4,16977.4,997.5,26,0,2,455000.0
7671,7500,1182,4631,12108.0,48462.7,2100.2,61119.8,61119.8,1772.9,41,0,5,187000.0
8992,7326,1975,3494,12770.4,10271.2,7298.0,88917.5,43688.6,8267.4,12,0,4,280000.0
13484,5407,2648,1375,438.0,49579.5,36423.8,99680.9,49868.0,22927.0,0,0,4,466700.0
11856,6754,2841,21275,18125.5,59784.0,34585.1,81451.3,43015.5,16787.0,8,0,4,438500.0
12785,3200,1471,826,7203.1,53304.8,42897.1,95583.5,47870.6,22618.0,16,0,4,250000.0
430,8509,1137,0,3069.6,12916.8,1634.0,61373.3,56067.5,6763.3,36,0,2,205000.0
8944,3200,1673,756,8529.3,13851.0,3131.9,92740.4,46282.5,3737.2,7,0,4,256500.0
4344,12750,2743,34333,4275.1,14655.6,4134.7,39511.4,12291.3,7984.4,26,0,4,625000.0
2328,9514,2504,37204,1571.0,20659.2,881.7,19159.5,19159.5,6305.2,51,0,4,975000.0
11201,3525,1455,5372,4458.9,70342.0,5478.1,67602.0,60292.7,4162.9,23,0,5,276000.0
4046,6000,1333,21388,2661.8,3781.9,2340.7,30113.1,10960.6,18986.8,51,0,5,614300.0
577,21000,1314,2069,8887.5,23477.9,627.3,46527.9,46346.0,5267.1,72,0,2,120000.0
12947,5348,1837,738,10008.3,44236.1,35581.8,87314.9,38633.1,13191.1,28,0,4,314900.0
7952,3987,1552,3648,20631.1,48950.9,453.6,70494.1,70494.1,2779.0,15,0,4,195000.0
13701,3927,1408,2016,524.5,39230.3,20568.9,100575.6,49513.3,16548.9,18,0,4,237800.0
6877,5780,2471,3954,8770.2,62775.0,13281.7,65553.8,52322.9,3457.4,10,0,4,457500.0
5272,10780,1746,7140,11819.3,19252.6,5358.4,85221.5,35563.9,3110.0,0,0,4,300000.0
8279,9000,1646,6015,5644.4,25513.1,6435.7,94147.7,44342.6,5671.8,46,0,2,200000.0
1698,9300,2055,20743,3932.2,23929.5,3234.1,34329.6,34329.6,5084.1,39,0,4,482000.0
761,7500,1184,0,4751.1,36450.4,1362.6,41341.3,41341.3,7577.2,66,0,4,120000.0
3877,4800,3600,10,2253.5,1333.0,360.6,15400.6,13831.9,3704.3,6,0,3,1900000.0
